"datetime","pm25_2","pm25","DEWP","TEMP","PRES","cbwd","Iws","Is","Ir","aqi_category","aqi_category2"
"1/12/2014 6:00",12,12,-24,-6,1036,"NW",39.78,0,0,1,"1"
"1/12/2014 7:00",12,12,-23,-7,1037,"NW",42.91,0,0,1,"1"
"1/12/2014 8:00",17,17,-22,-6,1038,"cv",0.89,0,0,1,"1"
"1/12/2014 9:00",33,33,-22,-2,1039,"NW",1.79,0,0,1,"1"
"1/12/2014 10:00",22,22,-23,0,1039,"NW",3.58,0,0,1,"1"
"1/12/2014 11:00",20,20,-26,1,1039,"NE",1.79,0,0,1,"1"
"1/12/2014 12:00",10,10,-26,1,1038,"cv",0.89,0,0,1,"1"
"1/12/2014 13:00",14,14,-27,2,1036,"NW",4.02,0,0,1,"1"
"1/12/2014 14:00",12,12,-27,2,1036,"NW",8.04,0,0,1,"1"
"1/12/2014 15:00",12,12,-27,4,1035,"NW",12.06,0,0,1,"1"
"1/12/2014 16:00",8,8,-27,3,1035,"NW",16.98,0,0,1,"1"
"1/12/2014 17:00",19,19,-27,2,1035,"cv",3.13,0,0,1,"1"
"1/12/2014 18:00",40,40,-26,1,1035,"SE",3.13,0,0,2,"2"
"1/12/2014 19:00",37,37,-25,0,1035,"SE",7.15,0,0,2,"2"
"1/12/2014 20:00",42,42,-22,-2,1035,"cv",0.45,0,0,2,"2"
"1/12/2014 21:00",56,56,-22,-4,1035,"cv",1.34,0,0,2,"2"
"1/12/2014 22:00",62,62,-21,-8,1035,"NW",3.13,0,0,2,"2"
"1/12/2014 23:00",57,57,-22,-9,1035,"NE",0.89,0,0,2,"2"
"1/13/2014 0:00",57,57,-19,-9,1034,"cv",0.89,0,0,2,"2"
"1/13/2014 1:00",75,75,-20,-9,1034,"NW",1.79,0,0,2,"2"
"1/13/2014 2:00",96,96,-20,-9,1034,"cv",0.89,0,0,3,"3"
"1/13/2014 3:00",110,110,-18,-9,1034,"NW",1.79,0,0,3,"3"
"1/13/2014 4:00",97,97,-20,-11,1033,"NW",3.58,0,0,3,"3"
"1/13/2014 5:00",105,105,-20,-11,1033,"NW",5.37,0,0,3,"3"
"1/13/2014 6:00",97,96.60511017,-19,-12,1033,"NE",0.89,0,0,3,"3"
"1/13/2014 7:00",63,62.31169891,-19,-11,1033,"NW",1.79,0,0,2,"2"
"1/13/2014 8:00",84,83.08771515,-19,-11,1033,"NE",0.89,0,0,3,"3"
"1/13/2014 9:00",118,117.0189362,-17,-8,1034,"NE",2.68,0,0,3,"3"
"1/13/2014 10:00",125,124.7420425,-18,-4,1033,"cv",0.89,0,0,3,"3"
"1/13/2014 11:00",135,134.2309265,-18,-1,1033,"cv",1.78,0,0,3,"3"
"1/13/2014 12:00",108,107.9449615,-19,0,1031,"cv",2.67,0,0,3,"3"
"1/13/2014 13:00",67,66.60638428,-23,1,1030,"cv",3.56,0,0,2,"2"
"1/13/2014 14:00",64,63.75527954,-22,2,1029,"cv",4.45,0,0,2,"2"
"1/13/2014 15:00",60,59.86198425,-23,3,1029,"SE",1.79,0,0,2,"2"
"1/13/2014 16:00",57,56.70285034,-23,3,1029,"cv",0.89,0,0,2,"2"
"1/13/2014 17:00",61,60.36440277,-22,0,1029,"SE",0.89,0,0,2,"2"
"1/13/2014 18:00",111,110.1964264,-20,-2,1030,"cv",0.89,0,0,3,"3"
"1/13/2014 19:00",132,131.0848083,-19,-6,1030,"NE",1.79,0,0,3,"3"
"1/13/2014 20:00",154,153.3827972,-16,-6,1031,"SE",1.79,0,0,4,"4"
"1/13/2014 21:00",114,113.3029556,-18,-7,1031,"NE",1.79,0,0,3,"3"
"1/13/2014 22:00",161,160.2431793,-17,-7,1032,"SE",0.89,0,0,4,"4"
"1/13/2014 23:00",203,202.7178497,-19,-8,1032,"NE",1.79,0,0,4,"4"
"1/14/2014 0:00",262,261.1121826,-18,-7,1033,"NW",1.79,0,0,4,"4"
"1/14/2014 1:00",229,228.8297577,-19,-8,1033,"NW",3.58,0,0,4,"4"
"1/14/2014 2:00",146,145.1480713,-20,-9,1033,"NW",6.71,0,0,3,"3"
"1/14/2014 3:00",104,103.3133545,-19,-8,1034,"NW",11.63,0,0,3,"3"
"1/14/2014 4:00",73,72.07481384,-21,-10,1034,"NW",15.65,0,0,2,"2"
"1/14/2014 5:00",51,50.20998383,-19,-9,1034,"cv",0.89,0,0,2,"2"
"1/14/2014 6:00",17,16.95146942,-20,-9,1034,"cv",1.78,0,0,1,"1"
"1/14/2014 7:00",58,57.08108902,-18,-9,1035,"cv",2.67,0,0,2,"2"
"1/14/2014 8:00",59,58.97402954,-18,-11,1035,"NW",1.79,0,0,2,"2"
"1/14/2014 9:00",158,157.9959412,-15,-7,1036,"NW",3.58,0,0,4,"4"
"1/14/2014 10:00",184,183.1005249,-12,-2,1036,"NW",5.37,0,0,4,"4"
"1/14/2014 11:00",191,190.1645203,-20,-1,1036,"cv",0.89,0,0,4,"4"
"1/14/2014 12:00",139,138.8742676,-23,1,1035,"cv",1.78,0,0,3,"3"
"1/14/2014 13:00",107,106.6810684,-24,2,1033,"cv",2.67,0,0,3,"3"
"1/14/2014 14:00",67,66.96255493,-23,3,1033,"NW",1.79,0,0,2,"2"
"1/14/2014 15:00",40,39.69037247,-22,3,1033,"cv",1.79,0,0,2,"2"
"1/14/2014 16:00",119,118.815918,-19,3,1032,"SE",3.13,0,0,3,"3"
"1/14/2014 17:00",110,109.9178085,-17,1,1033,"SE",6.26,0,0,3,"3"
"1/14/2014 18:00",140,139.7345581,-16,0,1033,"SE",9.39,0,0,3,"3"
"1/14/2014 19:00",105,104.7170715,-17,0,1033,"SE",12.52,0,0,3,"3"
"1/14/2014 20:00",102,101.6553345,-16,1,1033,"cv",1.79,0,0,3,"3"
"1/14/2014 21:00",78,77.13072205,-15,-5,1034,"cv",2.68,0,0,3,"3"
"1/14/2014 22:00",78,77.32283783,-14,-5,1034,"cv",3.57,0,0,3,"3"
"1/14/2014 23:00",83,82.61915588,-14,-6,1034,"cv",4.46,0,0,3,"3"
"1/15/2014 0:00",118,117.96521,-13,-7,1033,"cv",5.35,0,0,3,"3"
"1/15/2014 1:00",88,87.86309052,-14,-8,1033,"NW",0.89,0,0,3,"3"
"1/15/2014 2:00",120,119.6334839,-15,-7,1034,"NW",2.68,0,0,3,"3"
"1/15/2014 3:00",115,114.8971634,-17,-10,1033,"NW",4.47,0,0,3,"3"
"1/15/2014 4:00",172,171.4279175,-17,-10,1033,"NW",6.26,0,0,4,"4"
"1/15/2014 5:00",183,182.9117737,-18,-10,1033,"cv",0.89,0,0,4,"4"
"1/15/2014 6:00",149,148.0606995,-19,-10,1032,"cv",1.78,0,0,3,"3"
"1/15/2014 7:00",70,69.23551941,-18,-10,1033,"NW",3.13,0,0,2,"2"
"1/15/2014 8:00",72,71.45558929,-18,-7,1033,"NW",4.92,0,0,2,"2"
"1/15/2014 9:00",80,79.746315,-18,-5,1033,"NW",8.05,0,0,3,"3"
"1/15/2014 10:00",78,77.00119019,-17,-2,1033,"NW",12.07,0,0,3,"3"
"1/15/2014 11:00",86,85.95923615,-18,0,1033,"NW",13.86,0,0,3,"3"
"1/15/2014 12:00",53,52.19981003,-20,2,1032,"cv",1.79,0,0,2,"2"
"1/15/2014 13:00",41,40.80811691,-22,5,1030,"cv",2.68,0,0,2,"2"
"1/15/2014 14:00",45,44.6483345,-22,5,1029,"cv",3.57,0,0,2,"2"
"1/15/2014 15:00",43,42.69929504,-22,5,1029,"cv",5.36,0,0,2,"2"
"1/15/2014 16:00",48,47.53431702,-23,5,1029,"cv",6.25,0,0,2,"2"
"1/15/2014 17:00",52,51.57830811,-23,2,1028,"SE",1.79,0,0,2,"2"
"1/15/2014 18:00",131,130.6722565,-16,2,1029,"SE",5.81,0,0,3,"3"
"1/15/2014 19:00",243,242.9167633,-15,0,1029,"SE",8.94,0,0,4,"4"
"1/15/2014 20:00",426,425.9053345,-13,-2,1029,"cv",0.89,0,0,4,"4"
"1/15/2014 21:00",489,488.8041077,-11,-2,1029,"cv",1.78,0,0,4,"4"
"1/15/2014 22:00",504,503.0826721,-11,-2,1028,"SE",1.79,0,0,4,"4"
"1/15/2014 23:00",515,514.6315918,-10,-2,1029,"cv",0.89,0,0,4,"4"
"1/16/2014 0:00",516,515.9326782,-10,-3,1028,"SE",1.79,0,0,4,"4"
"1/16/2014 1:00",523,522.2557983,-9,-3,1027,"cv",0.89,0,0,4,"4"
"1/16/2014 2:00",580,579.3858032,-9,-3,1027,"cv",1.78,0,0,4,"4"
"1/16/2014 3:00",606,605.3049927,-8,-3,1027,"cv",2.67,0,0,4,"4"
"1/16/2014 4:00",625,624.4981689,-7,-3,1027,"NE",1.79,0,0,4,"4"
"1/16/2014 5:00",593,592.1213989,-7,-3,1026,"SE",1.79,0,0,4,"4"
"1/16/2014 6:00",590,589.03479,-7,-4,1027,"NW",0.89,0,0,4,"4"
"1/16/2014 7:00",568,567.6881104,-7,-4,1027,"NW",1.78,0,0,4,"4"
"1/16/2014 8:00",497,496.8945923,-8,-5,1028,"NW",3.57,0,0,4,"4"
"1/16/2014 9:00",457,456.289856,-8,-5,1028,"NW",5.36,0,0,4,"4"
"1/16/2014 10:00",457,456.7380981,-6,-2,1028,"cv",0.89,0,0,4,"4"
"1/16/2014 11:00",427,426.6741333,-11,1,1028,"NE",1.79,0,0,4,"4"
"1/16/2014 12:00",438,437.7165833,-11,2,1027,"NE",5.81,0,0,4,"4"
"1/16/2014 13:00",433,432.3310242,-10,3,1027,"NE",8.94,0,0,4,"4"
"1/16/2014 14:00",316,315.0457153,-11,4,1026,"SE",1.79,0,0,4,"4"
"1/16/2014 15:00",187,186.1064301,-15,5,1027,"SE",3.58,0,0,4,"4"
"1/16/2014 16:00",227,226.4284058,-14,5,1027,"SE",5.37,0,0,4,"4"
"1/16/2014 17:00",289,288.4359436,-11,3,1027,"SE",7.16,0,0,4,"4"
"1/16/2014 18:00",336,335.1783447,-7,0,1029,"SE",10.29,0,0,4,"4"
"1/16/2014 19:00",342,341.041748,-7,-2,1029,"SE",12.08,0,0,4,"4"
"1/16/2014 20:00",424,423.0055542,-6,-1,1030,"SE",13.87,0,0,4,"4"
"1/16/2014 21:00",424,423.8050842,-5,-1,1031,"cv",0.89,0,0,4,"4"
"1/16/2014 22:00",449,448.1323547,-5,-2,1031,"SE",1.79,0,0,4,"4"
"1/16/2014 23:00",304,303.3165283,-4,-1,1031,"SE",3.58,0,0,4,"4"
"1/17/2014 0:00",336,335.2270508,-4,-1,1031,"SE",7.6,0,0,4,"4"
"1/17/2014 1:00",322,321.000885,-5,-2,1031,"SE",10.73,0,0,4,"4"
"1/17/2014 2:00",277,276.6884155,-5,-2,1031,"SE",13.86,0,0,4,"4"
"1/17/2014 3:00",268,267.8077393,-7,-2,1031,"SE",18.78,1,0,4,"4"
"1/17/2014 4:00",196,195.188324,-10,-2,1031,"SE",23.7,2,0,4,"4"
"1/17/2014 5:00",176,175.2729187,-10,-3,1031,"SE",29.51,0,0,4,"4"
