seed,baseline_kappa,optimized_kappa,kappa_improvement,quadratic_baseline_kappa,quadratic_optimized_kappa,quadratic_kappa_improvement,linear_baseline_kappa,linear_optimized_kappa,linear_kappa_improvement,val_kappa,baseline_accuracy,optimized_accuracy,baseline_mae,optimized_mae,within_one_baseline,within_one_optimized,pearson_recovery,spearman_recovery,cat_proportions,recovered_thresholds,status,config
22,0.764172335600907,0.8318059299191374,0.06763359431823035,0.764172335600907,0.8318059299191374,0.06763359431823035,0.6222760290556901,0.6776859504132231,0.055409921357532976,0.9069193054889962,0.6388888888888888,0.6388888888888888,0.3611111111111111,0.3611111111111111,1.0,1.0,0.9209748270714756,0.9198662293395076,"(0.388, 0.196, 0.204, 0.212)","(2.105, 2.437, 3.002)",ok,reference
23,0.8517441860465116,0.8830275229357798,0.03128333688926821,0.8517441860465116,0.8830275229357798,0.03128333688926821,0.7504078303425775,0.7731653076352855,0.02275747729270794,0.9070708739468032,0.7638888888888888,0.7638888888888888,0.2361111111111111,0.2361111111111111,1.0,1.0,0.9504488569894635,0.932149977490514,"(0.395, 0.184, 0.218, 0.203)","(1.984, 2.525, 3.112)",ok,reference
24,0.8121442125237192,0.868421052631579,0.05627684010785983,0.8121442125237192,0.868421052631579,0.05627684010785983,0.6883116883116884,0.7463002114164905,0.05798852310480207,0.9049286494220414,0.6944444444444444,0.7222222222222222,0.3055555555555556,0.2777777777777778,1.0,1.0,0.9449389064249282,0.9382596951572452,"(0.388, 0.195, 0.214, 0.203)","(2.017, 2.598, 3.189)",ok,reference
25,0.7833333333333333,0.8585714285714285,0.07523809523809522,0.7833333333333333,0.8585714285714285,0.07523809523809522,0.6360808709175738,0.7478991596638656,0.11181828874629174,0.9084543431293968,0.6388888888888888,0.7361111111111112,0.3611111111111111,0.2777777777777778,1.0,0.9861111111111112,0.9281589104483939,0.9158466782429739,"(0.377, 0.191, 0.229, 0.203)","(2.051, 2.485, 3.185)",ok,reference
26,0.7957929567478138,0.8654602675059009,0.06966731075808708,0.7957929567478138,0.8654602675059009,0.06966731075808708,0.6561878233187426,0.7706146926536732,0.11442686933493063,0.8870798319327731,0.6666666666666666,0.7777777777777778,0.3333333333333333,0.2361111111111111,1.0,0.9861111111111112,0.934018002590423,0.9181297832658049,"(0.38, 0.202, 0.221, 0.197)","(2.076, 2.549, 3.107)",ok,reference
27,0.8426966292134832,0.827027027027027,-0.01566960218645619,0.8426966292134832,0.827027027027027,-0.01566960218645619,0.7506379876048123,0.7422126745435016,-0.008425313061310669,0.8756457295146305,0.75,0.75,0.2638888888888889,0.2777777777777778,0.9861111111111112,0.9722222222222222,0.9482752298752486,0.9297060904238217,"(0.378, 0.204, 0.22, 0.198)","(1.99, 2.453, 3.231)",ok,reference
28,0.8410138248847927,0.8988621997471555,0.05784837486236283,0.8410138248847927,0.8988621997471555,0.05784837486236283,0.7066950053134963,0.81743264659271,0.1107376412792137,0.8744402617275142,0.6805555555555556,0.8055555555555556,0.3194444444444444,0.2222222222222222,1.0,0.9722222222222222,0.9490804426848899,0.9513795099363305,"(0.389, 0.193, 0.227, 0.191)","(2.139, 2.356, 3.067)",ok,reference
29,0.8729096989966555,0.9311992355470616,0.05828953655040614,0.8729096989966555,0.9311992355470616,0.05828953655040614,0.7617554858934169,0.8579881656804733,0.09623267978705641,0.9147816495208623,0.7361111111111112,0.8333333333333334,0.2638888888888889,0.16666666666666666,1.0,1.0,0.9582155799945747,0.9602225223487043,"(0.383, 0.199, 0.212, 0.206)","(1.968, 2.49, 3.211)",ok,reference
30,0.8049999999999999,0.8852691218130312,0.08026912181303125,0.8049999999999999,0.8852691218130312,0.08026912181303125,0.6825863335782514,0.7983899194959748,0.11580358591772344,0.9149498784169853,0.6805555555555556,0.7916666666666666,0.3333333333333333,0.2222222222222222,0.9861111111111112,0.9861111111111112,0.9621126687323797,0.9599652710785261,"(0.38, 0.202, 0.207, 0.211)","(1.923, 2.472, 3.186)",ok,reference
31,0.728643216080402,0.8461538461538461,0.1175106300734442,0.728643216080402,0.8461538461538461,0.1175106300734442,0.5813953488372092,0.7359413202933985,0.1545459714561893,0.8966562082749441,0.625,0.75,0.375,0.25,1.0,1.0,0.9047816459580197,0.8984500610971768,"(0.39, 0.186, 0.219, 0.206)","(2.042, 2.505, 3.261)",ok,reference
