seed,baseline_kappa,optimized_kappa,kappa_improvement,quadratic_baseline_kappa,quadratic_optimized_kappa,quadratic_kappa_improvement,linear_baseline_kappa,linear_optimized_kappa,linear_kappa_improvement,val_kappa,baseline_accuracy,optimized_accuracy,baseline_mae,optimized_mae,within_one_baseline,within_one_optimized,pearson_recovery,spearman_recovery,cat_proportions,recovered_thresholds,status,config
42,0.6020408163265305,0.6405529953917051,0.03851217906517457,0.6020408163265305,0.6405529953917051,0.03851217906517457,0.39117647058823535,0.456701401365433,0.06552493077719768,0.5991750084182814,0.4027777777777778,0.4861111111111111,0.6388888888888888,0.5833333333333334,0.9583333333333334,0.9305555555555556,0.7178281009372106,0.7035500675284585,"(0.387, 0.176, 0.186, 0.251)","(2.131, 2.579, 3.284)",ok,noise=1.0
43,0.5951265229615745,0.6556568524884173,0.060530329526842785,0.5951265229615745,0.6556568524884173,0.060530329526842785,0.4273858921161826,0.5045355020331561,0.0771496099169735,0.6330849196918307,0.4583333333333333,0.5138888888888888,0.6388888888888888,0.6111111111111112,0.9027777777777778,0.8888888888888888,0.6849502725522232,0.6966042832336486,"(0.413, 0.17, 0.177, 0.24)","(2.175, 2.626, 3.404)",ok,noise=1.0
44,0.5774831558356879,0.7033519553072627,0.1258687994715748,0.5774831558356879,0.7033519553072627,0.1258687994715748,0.43434343434343436,0.5390381011867582,0.10469466684332385,0.6837596958956182,0.5,0.5416666666666666,0.5833333333333334,0.5694444444444444,0.9166666666666666,0.9027777777777778,0.7757150494918087,0.7578943983535918,"(0.417, 0.16, 0.181, 0.242)","(2.364, 2.878, 3.052)",ok,noise=1.0
45,0.6129032258064517,0.6,-0.012903225806451757,0.6129032258064517,0.6,-0.012903225806451757,0.4310549190043461,0.492040520984081,0.060985601979734905,0.6600611720344788,0.5,0.5972222222222222,0.5555555555555556,0.5416666666666666,0.9444444444444444,0.8888888888888888,0.7061385147933162,0.7139044311531288,"(0.404, 0.166, 0.174, 0.256)","(2.257, 2.716, 3.161)",ok,noise=1.0
46,0.3571428571428572,0.3571428571428571,-1.1102230246251565e-16,0.3571428571428572,0.3571428571428571,-1.1102230246251565e-16,0.21677215189873422,0.23572474377745234,0.018952591878718117,0.6848160113466236,0.3611111111111111,0.4027777777777778,0.7638888888888888,0.8055555555555556,0.875,0.8055555555555556,0.38534859551224,0.37954209273908296,"(0.401, 0.159, 0.192, 0.248)","(2.049, 2.611, 3.062)",ok,noise=1.0
47,0.4890756302521009,0.474987281668645,-0.014088348583455867,0.4890756302521009,0.474987281668645,-0.014088348583455867,0.36649746192893395,0.3493975903614458,-0.017099871567488156,0.5786283715050629,0.4444444444444444,0.4722222222222222,0.7222222222222222,0.75,0.8333333333333334,0.7777777777777778,0.7673478518331742,0.737989581323558,"(0.412, 0.173, 0.178, 0.236)","(2.104, 2.384, 3.307)",ok,noise=1.0
48,0.506223012446025,0.631578947368421,0.12535593492239605,0.506223012446025,0.631578947368421,0.12535593492239605,0.31319554848966613,0.45252225519287836,0.13932670670321223,0.7079934100241176,0.375,0.4861111111111111,0.6666666666666666,0.5694444444444444,0.9583333333333334,0.9444444444444444,0.7405689603774738,0.7834587433275453,"(0.402, 0.164, 0.186, 0.247)","(1.754, 2.692, 3.208)",ok,noise=1.0
49,0.462915601023018,0.5542857142857143,0.09137011326269628,0.462915601023018,0.5542857142857143,0.09137011326269628,0.3588126159554731,0.43213499633162145,0.07332238037614836,0.663587144700809,0.4861111111111111,0.5555555555555556,0.6666666666666666,0.5972222222222222,0.8472222222222222,0.8472222222222222,0.7092208226983284,0.6991446395266578,"(0.389, 0.174, 0.189, 0.248)","(2.047, 2.636, 3.28)",ok,noise=1.0
50,0.5564681724845997,0.5257569799449469,-0.03071119253965282,0.5564681724845997,0.5257569799449469,-0.03071119253965282,0.4136807817589577,0.4421621621621621,0.02848138040320436,0.7183565847539335,0.5,0.5555555555555556,0.5555555555555556,0.5972222222222222,0.9444444444444444,0.8611111111111112,0.6850947746076225,0.6607177310437972,"(0.402, 0.165, 0.199, 0.235)","(2.122, 2.601, 3.164)",ok,noise=1.0
51,0.6437437101643744,0.657314629258517,0.013570919094142653,0.6437437101643744,0.657314629258517,0.013570919094142653,0.5284345047923323,0.554806070826307,0.026371566033974614,0.6956586550064595,0.5277777777777778,0.5694444444444444,0.5694444444444444,0.6111111111111112,0.9305555555555556,0.8611111111111112,0.7597956719663731,0.7522670268184452,"(0.414, 0.162, 0.183, 0.241)","(2.37, 2.615, 3.174)",ok,noise=1.0
52,0.5885714285714285,0.6413793103448275,0.05280788177339901,0.5885714285714285,0.6413793103448275,0.05280788177339901,0.4601420678768745,0.5164179104477611,0.05627584257088658,0.6691448034361065,0.5416666666666666,0.6111111111111112,0.5277777777777778,0.5,0.9305555555555556,0.8888888888888888,0.7588755323817877,0.7652903723712137,"(0.397, 0.167, 0.186, 0.25)","(2.212, 2.708, 3.226)",ok,noise=1.0
53,0.629889669007021,0.6207865168539326,-0.009103152153088434,0.629889669007021,0.6207865168539326,-0.009103152153088434,0.49377259943752516,0.5159235668789809,0.022150967441455727,0.6683058012274172,0.5555555555555556,0.625,0.4861111111111111,0.5277777777777778,0.9583333333333334,0.8472222222222222,0.7635335247301058,0.7507556756061485,"(0.402, 0.165, 0.19, 0.243)","(2.292, 2.627, 3.073)",ok,noise=1.0
54,0.4274553571428572,0.4727272727272728,0.04527191558441557,0.4274553571428572,0.4727272727272728,0.04527191558441557,0.30081300813008127,0.35502121640735507,0.054208208277273795,0.6618663033959327,0.4861111111111111,0.5972222222222222,0.5972222222222222,0.5277777777777778,0.9305555555555556,0.8888888888888888,0.5232594197121866,0.5316097498231398,"(0.403, 0.169, 0.189, 0.239)","(2.267, 2.565, 3.085)",ok,noise=1.0
55,0.4883248730964467,0.506398537477148,0.01807366438070135,0.4883248730964467,0.506398537477148,0.01807366438070135,0.3819742489270386,0.3832599118942732,0.0012856629672346465,0.6776026935131668,0.5416666666666666,0.5694444444444444,0.5,0.4861111111111111,0.9583333333333334,0.9583333333333334,0.6437319660431717,0.6704611229017945,"(0.393, 0.172, 0.195, 0.24)","(2.231, 2.4, 3.205)",ok,noise=1.0
56,0.42890307603017996,0.44335578689528476,0.0144527108651048,0.42890307603017996,0.44335578689528476,0.0144527108651048,0.3560371517027864,0.3493975903614457,-0.006639561341340694,0.6241350577835743,0.4305555555555556,0.4583333333333333,0.7222222222222222,0.7916666666666666,0.9027777777777778,0.8055555555555556,0.5318171967490072,0.511737089201878,"(0.399, 0.164, 0.186, 0.251)","(2.052, 2.692, 3.002)",ok,noise=1.0
